,title,tomatometer,audience_score,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompanies ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
0,Ratched,62,68,"['Drama', 'Psychological thriller']",Evan Romansky,"['Sarah Paulson', 'Finn Wittrock', 'Cynthia Nixon', 'Jon Jon Briones', 'Charlie Carver', 'Judy Davis', 'Sharon Stone']",,United States,English,1.0,8,"['Aleen Keshishian', 'Margaret Riley', 'Jacob Epstein', 'Michael Douglas', 'Robert Mitas', 'Jennifer Salt', 'Sarah Paulson', 'Ian Brennan', 'Tim Minear', 'Alexis Martin Woodall', 'Ryan Murphy']","['Nelson Cragg', 'Blake McClure', 'Andrew Mitchell', 'Simon Dennis']","['Shelly Westerman', 'Peggy Tachdjian', 'Ravi Subramanian', 'Ken Ramos', 'Danielle Wang']",45–62 minutes,"['Further Films', 'Lighthouse Management + Media', 'Ryan Murphy Television', 'Touchstone Television (Season 1)', '20th Television (Season 2-onwards)']",Disney–ABC Domestic Television,Netflix,Widescreen,"Stereo, Dolby Digital 5.1","September 18, 2020 (2020-09-18) –present (present)",45,present,,,,,The character of Nurse Ratched from One Flew Over the Cuckoo's Nestby Ken KeseyFrom the Saul Zaentz Company motion picture with the same title,Ryan Murphy,,,"""Danse Macabre, Op. 40"" by Camille Saint-Saëns",,,"['Paul Zaentz', 'Todd Nenninger', 'Eric Kovtun', 'Lou Eyrich', 'Eryn Krueger Mekash', 'Sara Stelwagen', 'Tanase Popa']",Mac Quayle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Emily in Paris,63,58,"['Comedy-drama', 'Romantic comedy']",Darren Star,"['Lily Collins', 'Philippine Leroy-Beaulieu', 'Ashley Park', 'Lucas Bravo', 'Samuel Arnold', 'Bruno Gouery', 'Camille Razat']",,United States,,1.0,10,"['Andrew Fleming', 'Tony Hernandez', 'Lilly Burns', 'Darren Star']","['Steven Fierberg', 'Alexander Gruszynski']","['Alex Minnick', 'Laura Weinberg', 'Jesse Gordon', 'John Rafanelli']",24–34 minutes,"['Darren Star Productions', 'Jax Media', 'MTV Studios']",Netflix Streaming Services,Netflix,,,"October 2, 2020 (2020-10-02) –present (present)",24,present,James Newton Howard,,,"Île-de-France, France",,,,,,,,"['Stephen Joel Brown', 'Shihan Fey', 'Jake Fuller', 'Lily Collins', 'Raphaël Benoliel']",,,Single-camera,,,,,,,,"['English', 'French']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Locke & Key,66,68,"['Supernatural horror', 'Fantasy', 'Drama']",,"['Darby Stanchfield', 'Connor Jessup', 'Emilia Jones', 'Jackson Robert Scott', 'Petrice Jones', 'Laysla De Oliveira', 'Griffin Gluck']",,United States,English,1.0,10 ,"['Carlton Cuse', 'Meredith Averill', 'Lindsey Springer', 'Tim Southam', 'Michael Morris', 'Joe Hill', 'John Weber', 'Frank Siracusa', 'Aron Eli Coleite', 'Chris Ryall', 'Ted Adams', 'Lydia Antonini', 'Andy Muschietti', 'Barbara Muschietti', 'David Alpert', 'Rick Jacobs']","['Tico Poulakakis', 'Colin Hoult']","['Matthew V. Colonna', 'Lilly Urban', 'Paul Trejo', 'Andrew Behrens', 'Philip Fowler']",40–56 minutes,"['Genre Arts', 'Hard A Productions', 'Circle of Confusion', 'IDW Entertainment']",,Netflix,,,"February 7, 2020 (2020-02-07) –present (present)",40,present,,,,"['Toronto, Ontario', 'Lunenburg, Nova Scotia']",Locke & Keyby Joe Hill and Gabriel Rodriguez,"['Carlton Cuse', 'Meredith Averill', 'Aron Eli Coleite']",,,,,,"[""Ra'uf Glasgow"", 'Kevin Lafferty', 'Nishpeksh Mehra']",,,Single-camera,,,Torin Borrowdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cursed,66,52,"['Fantasy', 'Serial drama', 'Adventure', 'Action']","['Frank Miller', 'Tom Wheeler']","['Katherine Langford', 'Devon Terrell', 'Gustaf Skarsgård', 'Daniel Sharman', 'Sebastian Armesto', 'Lily Newmark', 'Peter Mullan', 'Shalom Brune-Franklin', 'Bella Dayne', 'Matt Stokoe']",,United States,English,1.0,10,"['Frank Miller', 'Tom Wheeler']",,,48–59 minutes,"['Arcanum', 'Frank Miller Ink']",Netflix,Netflix,,Stereo,"July 17, 2020 (2020-07-17)",48,07,,Alex Boden,United Kingdom,,"['Frank Miller', 'Tom Wheeler']",,,,,,,,Jeff Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,The Witcher,67,92,"['Fantasy', 'Serial drama', 'Adventure', 'Action']",Lauren Schmidt Hissrich,"['Henry Cavill', 'Freya Allan', 'Eamon Farren', 'Anya Chalotra', 'Joey Batey', 'MyAnna Buring', 'Royce Pierreson', 'Mimi Ndiweni', 'Wilson Radjou-Pujalte', 'Anna Shaffer', 'Mahesh Jadu']","['Sonya Belousova', 'Giona Ostinelli']","['United States', 'Poland']",English,1.0,8 ,"['Sean Daniel', 'Jason Brown', 'Tomasz Bagiński', 'Jarosław Sawko', 'Lauren Schmidt Hissrich', 'Alik Sakharov']","['Jean-Philippe Gossart', 'Gavin Struthers']","['Liana Del Giudice', 'Nick Arthurs', 'Jean-Daniel Fernandez-Qundez', 'Xavier Russell']",47–67 minutes,"['Sean Daniel Company', 'Stillking Films', 'Platige Image', 'One of Us', 'Cinesite']",Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",5.1 surround sound,"December 20, 2019 (2019-12-20) –present (present)",47,present,,,,,The Witcherby Andrzej Sapkowski,,,,,,,['Mike Ostrowski'],,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Disenchantment,67,72,"['Animated sitcom', 'Black comedy', 'Medieval fantasy']",Matt Groening,,,United States,English,2.0,30 ,"['Matt Groening', 'Josh Weinstein', 'Claudia Katz', 'Eric Horsted', 'Bill Oakley', 'Patric M. Verrone']",,,22–36 minutes,The ULULU CompanyRough Draft Studios,Netflix,Netflix,4K (Ultra HD),Stereo,"August 17, 2018 (2018-08-17) –present",22,present,,,,,,"['Matt Groening', 'Josh Weinstein']",,,,,,"['Reid Harrison', 'David X. Cohen', 'Deanna Maclellan', 'Lee Supercinski', 'Jeny Batten', 'M. Dickson', 'Rich Fulcher']",Mark Mothersbaugh,,,,,,"['Abbi Jacobson', 'Eric Andre', 'Nat Faxon', 'John DiMaggio', 'Tress MacNeille', 'Matt Berry', 'David Herman', 'Maurice LaMarche', 'Lucy Montgomery', 'Billy West', 'Noel Fielding', 'Sharon Horgan']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Fear City: New York vs The Mafia,68,64,"['Documentary', 'True crime']",,,,United States,English,1.0,3,"['Dimitri Doganis', 'Bart Layton', 'Adam Hawkins', 'Jon Liebman']",Tim Cragg,"['Julian Hart', 'Tom Parsons']",44–62 minutes,"['Raw Television', 'Brillstein Entertainment Partners']",Netflix,,,,"July 22, 2020 (2020-07-22)",44,07,,Bernadette Higgins,,,,,,,"""Hard Times"" by Baby Huey & the Babysitters",,,,,,,,Sam Hobkinson,Paul Moessl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Warrior Nun,68,75,"['Fantasy', 'Drama', 'Supernatural', 'Occult detective', 'Superhero']",Simon Barry,"['Alba Baptista', 'Toya Turner', 'Thekla Reuten', 'Lorena Andrea', 'Kristina Tonteri-Young', 'Tristan Ulloa']",,United States,English,1.0,10 ,"['Simon Barry', 'Stephen Hegyes', 'Jet Wilkinson', 'Dean English', 'Robert Burke']",,,37–50 minutes,,Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital 5.1,"July 2, 2020 (2020-07-02) –present (present)",37,present,,,Spain,,['Ben Dunn'],,,Alba Baptista,,Reality Distortion Field,,"['Zack Tucker Gangnes', 'Peter Welter Soler', 'Matt Bosack', 'Todd Giroux']",Jeff Russo,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,The Liberator,69,70,,Jeb Stuart,,"['Mikolai Stroinski', 'Jason Todd Shannon', 'Benjamin Scott Holst']",United States,English,,4,"['Jeb Stuart', 'A+E Studios:', 'Barry Jossen', 'Unique Features:', 'Michael Lynne', 'Bob Shaye', 'Sarah Victor', ' Trioscope Studios:', 'L.C. Crowley', 'Grzegorz Jonkajtys', 'Brandon Barr', 'Mark Apen']",,,45–56 minutes,"['A&E Studios', 'Unique Features', 'Trioscope Studios (animation)']",,Netflix,4K (UHD) Widescreen,Stereo,"November 11, 2020 (2020-11-11)",45,11,,,,,The Liberator: One World War II Soldier’s 500-Day Odysseyby Alex Kershaw,,,Mike Rowe,"""July 10, 1943""by Jason Todd Shannon",,,"['Alex Kershaw', 'Łukasz Dzięcioł', 'Natalia Lacosta']",,Akın Özçelik,,Jeb Stuart,Greg Jonkajtys,,"['Bradley James', 'Jose Miguel Vasquez', 'Martin Sensmeier']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Love Is Blind,70,56,Reality,,,,United States,English,,11,"['Chris Coelen', 'Sam Dean', 'Ally Simpson', 'Eric Detwiler', 'Terrance Villarreal']",,,48–84 minutes,,,Netflix,16:9,,"February 13, 2020 (2020-02-13) –present (present)",48,present,,,,,,,,,,Kinetic Content,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nick Lachey', 'Vanessa Lachey']",,,,,,,,,,,,,,,,,,
10,Bonding,71,67,"['Dark comedy', 'Comedy-drama', 'Sex comedy']",Rightor Doyle,"['Zoe Levin', 'Brendan Scannell', 'Micah Stock', 'Theo Stockman', ""D'Arcy Carden""]",,United States,English,2.0,15 ,"['Rightor Doyle', 'Dara Gordon', 'Jacob Perlin', 'Nina Soriano', 'Tom Schembri', 'David Sigurani']",,,13–17 minutes,"['Blackpills', 'Anonymous Content', 'Jax Media (season 2)', 'Rightor Doyle Productions (season 2)']",,Netflix,4K (16:9 UHDTV),Dolby Digital,"April 24, 2019 (2019-04-24) –present (present)",13,present,,,,,,,,,,,,,Adam Crystal,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Grand Army,71,78,Teen drama,Katie Cappiello,"[""Odessa A'zion"", 'Odley Jean', 'Amir Bageria', 'Maliq Johnson', 'Amalia Yoo', 'Alphonso Romero Jones, II', 'Thelonius Serrell-Freed', 'Anthony Ippolito', 'Brian Altemus']",,United States,English,1.0,9,"['Katie Cappiello', 'Nicolette Donen', 'Elizabeth Kling', 'Beau Willimon', 'Jordan Tappis', 'Joshua Donen']","['Ava Berkofsky', 'Bobby Shore', 'Autumn Eakin', 'Andrew Wehde']","['JoAnne Yarrow', 'Fabienne Bouville', 'Darrel Drinkard', 'Jon Otazua', 'Jessica Hernández']",47–72 minutes,,Netflix,Netflix,,,"October 16, 2020 (2020-10-16)",47,10,,Chris Hatcher,,,,,,,,Westward,,,,,,,,Morgan Kibby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Outer Banks,71,86,"['Teen drama', 'Action-adventure', 'Mystery', 'Thriller']","['Josh Pate', 'Jonas Pate', 'Shannon Burke']","['Chase Stokes', 'Madelyn Cline', 'Madison Bailey', 'Jonathan Daviss', 'Rudy Pankow', 'Austin North', 'Charles Esten', 'Drew Starkey']",,United States,English,1.0,10,"['Josh Pate', 'Jonas Pate', 'Shannon Burke']","['J.B. Smith', 'Gonzalo Amat']","['Sunny Hodge', 'Christal Khatib', 'Jeffrey M. Werner', 'Kyle Bond', 'Scott Wallace', 'Blake Maniquis', 'John Peter Bernardo']",46–56 minutes,"['Rock Fish', 'Red Canoe Productions']",,Netflix,4K (16:9 UHDTV in HDR),Dolby Digital,"April 15, 2020 (2020-04-15) –present (present)",46,present,,,,,,,,Chase Stokes,,,,"['Aaron Miller', 'Sunny Hodge']",,,,,,Fil Eisler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,History of Swear Words,69,53,Documentary series,,,,United States,English,1.0,6,"['Brien Meagher', 'Rhett Bachner', 'Mike Farah', 'Joe Farrell', 'Beth Belew', 'Bellamie Blackstone']",,,20 minutes,B17 EntertainmentFunny or Die,Netflix,Netflix,14:9,Stereo,"January 5, 2021 (2021-01-05)",20,01,Adam Blau,Ben Stoddard,,,,,,,,,,,,,,"['Joel Boyd', 'Sara Schaefer']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolas Cage,,,,,,,,,,,,,,,,,,
14,After Life,75,90,"['Black comedy', 'Comedy-drama']",Ricky Gervais,"['Ricky Gervais', 'Diane Morgan', 'Tom Basden', 'Tony Way', 'Mandeep Dhillon', 'Ashley Jensen', 'David Bradley', 'Kerry Godliman', 'Penelope Wilton', 'David Earl', 'Joe Wilkinson', 'Jo Hartley', 'Roisin Conaty', 'Paul Kaye']",,United Kingdom,,,12 ,"['Ricky Gervais', 'Duncan Hayes']",Martin Hawkins,,25–31 minutes,,,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital 5.1,8 March 2019 (2019-03-08) –present,25,present,,Charlie Hanson,,,,,,,,Derek Productions Limited,,,Andy Burrows,Jo Walker,Single-camera,Ricky Gervais,Ricky Gervais,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Lost in Space,75,80,"['Science fiction', 'Adventure', 'Family drama']",Irwin Allen,"['Molly Parker', 'Toby Stephens', 'Maxwell Jenkins', 'Taylor Russell', 'Mina Sundwall', 'Ignacio Serricchio', 'Parker Posey', 'Brian Steele']","['Christopher Lennertz', 'John Williams (original theme)']",United States,English,2.0,20 ,"['Neil Marshall', 'Zack Estrin', 'Kevin Burns', 'Jon Jashni', 'Matt Sazama', 'Burk Sharpless', 'Marc Helwig', 'Alex Graves']",Sam McCurdy,,39–65 minutes,"['Sazama Sharpless Productions', 'Applebox Entertainment', 'Synthesis Entertainment', 'Clickety-Clack Productions', 'Legendary Television']",Netflix,Netflix,4K (Ultra HD),,"April 13, 2018 (2018-04-13) –present (present)",39,present,,,,"Vancouver, British Columbia",1965 series of the same nameby Irwin AllenThe Swiss Family Robinson byJohann David Wyss,Matt SazamaBurk Sharpless,"['Lost in Space (1965 TV series)', 'Lost in Space (1998 film)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,High Score,76,45,Documentary,France Costrel,,,United States,,1.0,6,"['William Acks', 'Sam LaCroix', 'France Costrel', 'Melissa Wood', 'Courtney Coupe']",,,37-47 minutes,,,Netflix,,,"August 19, 2020 (2020-08-19)",37,08,Power Glove,,,,,,,Charles Martinet,,Great Big Story,,,,,,,"['William Acks, Sam LaCroix, France Costrel, Melissa Wood']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Unsolved Mysteries,77,69,"['Documentary', 'mystery', 'paranormal']","['John Cosgrove', 'Terry Dunn Meurer']",,,United States,English,15.0,593 ,"['John Cosgrove', 'Terry Dunn Meurer']",,,"['42 minutes (1987–2010)', '36–53 minutes (2020)']","['Cosgrove-Meurer Productions', '21 Laps Entertainment (2020)']","['Buena Vista Television (1987–2002)', 'HBO Distribution (2008–present)', 'FilmRise']","['NBC (1987–1997)', 'CBS (1997–1999)', 'Lifetime (2001–2002)', 'Spike (2008–2010)', 'Netflix (2020–present)']",NTSC (480i),,"January 20, 1987 (1987-01-20) –present (present)","['42 minutes (1987–2010)', '36–53 minutes (2020)']",present,,,,,,,,,,,,"['Raymond Bridgers', 'Stuart Schwartz', 'Jim Lindsay']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Raymond Burr', 'Karl Malden', 'Robert Stack', 'Virginia Madsen', 'Dennis Farina']",,,,,,,,,,,,,,,,,,
18,"Love, Death & Robots",77,91,Adult animationAnthologyScience fiction,Tim Miller,,,United States,English,1.0,18 ,"['Joshua Donen', 'David Fincher', 'Jennifer Miller', 'Tim Miller']",,,6–17 minutes,"['Blur Studio', 'Netflix Studios']",Netflix Streaming Services,Netflix,,,"March 15, 2019 (2019-03-15) –present (present)",6,present,,,,,"['Richard Corben', 'Angus McKie', ""Dan O'Bannon"", 'Thomas Warkentin', 'Bernie Wrightson']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,House of Cards,77,76,"['Political drama', 'Political thriller']",Beau Willimon,"['Kevin Spacey', 'Robin Wright', 'Michael Kelly', '(See full cast below)']",,United States,English,6.0,73 ,"['David Fincher', 'Kevin Spacey', 'Eric Roth', 'Joshua Donen', 'Dana Brunetti', 'Andrew Davies', 'Michael Dobbs', 'John Melfi', 'Beau Willimon', 'David Manson', 'John David Coles', 'Robin Wright', 'Frank Pugliese', 'Melissa James Gibson']","['Eigil Bryld', 'Tim Ives', 'Igor Martinovic']",,43–59 minutes,"['MRC', 'Trigger Street Productions', 'Wade/Thomas Productions', 'Knight Takes King Productions']",Sony Pictures Television,Netflix,"['1080p (2:1 HDTV) (2013)', '4K (2:1 UHDTV) (2014–18)']",Dolby Digital 5.1,"February 1, 2013 (2013-02-01) –November 2, 2018 (2018-11-02)",43,"November 2, 2018",,,,"['Baltimore, Maryland', 'Joppa, Maryland(sound stage)']","['House of Cardsby Michael Dobbs', 'House of Cardsby Andrew Davies']",,House of Cards,,,,,,,,,,,Jeff Beal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ozark,81,90,"['Crime drama', 'Thriller']","['Bill Dubuque', 'Mark Williams']","['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner', 'Julia Garner', 'Jordana Spiro', 'Jason Butler Harner', 'Esai Morales', 'Peter Mullan', 'Lisa Emery', 'Charlie Tahan', 'Janet McTeer', 'Tom Pelphrey', 'Jessica Frances Dukes']","['Danny Bensi', 'Saunder Jurriaans']",United States,English,3.0,30 ,"['Jason Bateman', 'Chris Mundy', 'Bill Dubuque', 'Mark Williams']",,,52–80 minutes,"['MRC', 'Aggregate Films', 'Zero Gravity Management', 'Headhunter Films', 'Man, Woman & Child Productions']",Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital 5.1,"July 21, 2017 (2017-07-21) –present (present)",52,present,,,,"['Lake Allatoona, Georgia', 'Lake Lanier, Georgia']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Raising Dion,82,74,"['Superhero', 'Science fiction', 'Adventure', 'Family drama']",Carol Barbee,"['Alisha Wainwright', ""Ja'Siah Young"", 'Jazmyn Simon', 'Sammi Haney', 'Jason Ritter']",,United States,English,1.0,9 ,"['Carol Barbee', 'Charles D. King', 'Kim Roth', 'Poppy Hanks', 'Kenny Goodman', 'Dennis Liu', 'Seith Mann', 'Michael Green', 'Michael B. Jordan']","['Armando Salas', 'Peter Flinckenberg']","['James D. Wilcox', 'Scott James Wallace', 'Elisa R. Cohen', 'William Yeh']",38–50 minutes,"['Fixed Mark Productions', 'MACRO', 'Outlier Society Productions']",,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,"October 4, 2019 (2019-10-04) –present (present)",38,present,,,,,Raising Dionby Dennis Liu,,,,,,,"['Robert F. Phillips', 'Edward Ricourt', 'Juanita Diana Feeney']",,,,,,Kris Bowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,The Umbrella Academy,82,87,"['Black comedy', 'Drama', 'Science fiction', 'Superhero', 'Fantasy']",Steve Blackman,"['Elliot Page', 'Tom Hopper', 'David Castañeda', 'Emmy Raver-Lampman', 'Robert Sheehan', 'Aidan Gallagher', 'Mary J. Blige', 'Cameron Britton', 'John Magaro', 'Adam Godley', 'Colm Feore', 'Justin H. Min', 'Ritu Arya', 'Yusuf Gatewood', 'Marin Ireland', 'Kate Walsh']","['Jeff Russo', 'Perrine Virgile']",United States,English,2.0,20 ,"['Gerard Way', 'Gabriel Bá', 'Jeremy Slater', 'Scott Stuber', 'Beau Bauman', 'Mike Richardson', 'Keith Goldberg', 'Peter Hoar', 'Jeff F. King', 'Steve Blackman']","['Neville Kidd', 'Craig Wrobleski']","['Jon Dudkowski', 'Timothy A. Good', 'Amy Duddleston', 'Wendy Tzeng', 'Todd Desrosiers', 'Brian Beal', 'Amanda Panella', 'Franklin Peterson']",40–60 minutes,"['Borderline Entertainment', 'Dark Horse Entertainment', 'Universal Cable Productions']",NetflixNBCUniversal Television Distribution,Netflix,4K UHDTV 2160p,Dolby Digital,"February 15, 2019 (2019-02-15) –present (present)",40,present,,,,"['Toronto, Ontario', 'Hamilton, Ontario']",The Umbrella Academyby Gerard Way and Gabriel Bá,Jeremy Slater,,,,,,"['Kevin Lafferty', 'Sneha Koorse', 'Jamie Neese', 'Jason Neese', 'Ted Miller']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Challenger: The Final Flight,84,91,,,,,United States,English,1.0,4,,,"Adrienne Gits, Poppy Das",41–52 minutes,"['Bad Robot', 'Sutter Road Picture Company', 'Zipper Bros Films']",Netflix,Netflix,HDTV 1080p,Stereo,"September 16, 2020 (2020-09-16)",41,09,,,,,,"['Steven Leckart', 'Glen Zipper']",,,,,,,,,,,"Daniel Junge, Steven Leckart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Lucifer,86,77,"['Urban fantasy', 'Police procedural', 'Comedy-drama']",,"['Tom Ellis', 'Lauren German', 'Kevin Alejandro', 'D. B. Woodside', 'Lesley-Ann Brandt', 'Rachael Harris', 'Scarlett Estevez', 'Kevin Rankin', 'Tricia Helfer', 'Aimee Garcia', 'Tom Welling', 'Inbar Lavi']","['Ben Decter', 'Jeff Russo', 'Marco Beltrami', 'Dennis Smith']",United States,English,5.0,75 ,"['Tom Kapinos', 'Ildy Modrovich', 'Len Wiseman', 'Jonathan Littman', 'Jerry Bruckheimer', 'Joe Henderson', 'Tom Ellis']","['Glen Keenan', 'Ryan McMaster', 'Tico Poulakakis', 'Stefan von Bjorn', 'Barry Donlevy', 'Christian Sebaldt']","['Marc Pattavina', 'Ray Daniels III', 'Fred Peterson', 'Hector Carrillo', 'Matt Coleshill', ""Jill D'Agnenica""]",42–62 minutes,"['Jerry Bruckheimer Television', 'DC Entertainment', 'Warner Bros. Television']",Warner Bros. Television Distribution,"['Fox (2016–18)', 'Netflix (2019–present)']","['720p 16:9 (HDTV)', '4K (16:9 UHDTV in high dynamic range)']",Dolby Digital 5.1,"January 25, 2016 (2016-01-25) –present (present)",42,present,,,,"['Los Angeles, California', 'Vancouver, British Columbia']","['Neil Gaiman', 'Sam Kieth', 'Mike Dringenberg']",Tom Kapinos,,,,,,"['Alex Katsnelson', 'Michael Azzolino', 'Erik Holmberg', 'Karen Gaviola']",,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Atypical,87,95,"['Comedy-drama', 'Coming-of-age']",Robia Rashid,"['Keir Gilchrist', 'Jennifer Jason Leigh', 'Brigette Lundy-Paine', 'Michael Rapaport', 'Amy Okuda']",,United States,English,3.0,28 ,,,,26–38 minutes,Weird BrainExhibit ASony Pictures Television,Netflix,Netflix,,,"August 11, 2017 (2017-08-11) –present (present)",26,present,,Jennifer Jason Leigh,,"Los Angeles, California",,,,,,,,,Dan Romer,,,,,,,,,,,"Robia Rashid
Seth Gordon

Mary Rohlich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Narcos: Mexico,88,92,"['Crime drama', 'Biographical']","['Carlo Bernard', 'Chris Brancato', 'Doug Miro']","['Michael Peña', 'Diego Luna', 'Tenoch Huerta Mejía', 'Alyssa Diaz', 'Joaquín Cosío', 'José María Yazpik', 'Matt Letscher', 'Ernesto Alterio', 'Alejandro Edda', 'Fernanda Urrejola', 'Teresa Ruiz', 'Aaron Staton', 'Lenny Jacobson', 'Gerardo Taracena', 'Julio Cesar Cedillo', 'Scoot McNairy', 'Alfonso Dosal', 'Mayra Hermosillo', 'Manuel Masalva', 'Miguel Rodarte', 'Alex Knight', 'Jesse Garcia', 'Matt Biedel', 'Jero Medina', 'Alberto Zeni', 'Gorka Lasaosa', 'Andres Londono', 'Alberto Ammann', 'Flavio Medina']","['Gustavo Santaolalla', 'Kevin Kiner']",United StatesMexico,,2.0,20 ,"['Carlo Bernard', 'Doug Miro', 'Eric Newman', 'José Padilha']",,,45–69 minutes,,Netflix,Netflix,,,"November 16, 2018 (2018-11-16) –present",45,present,Rodrigo Amarante,,,"['Mexico', 'United States']",,,,['Scoot McNairy'],"""Tuyo""",Gaumont International Television,Narcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Grace and Frankie,88,89,Comedy,"['Marta Kauffman', 'Howard J. Morris']","['Jane Fonda', 'Lily Tomlin', 'Sam Waterston', 'Martin Sheen', 'Brooklyn Decker', 'Ethan Embry', 'June Diane Raphael', 'Baron Vaughn']","['Sam KS', 'Michael Skloff']",United States,English,6.0,78 ,"['Marta Kauffman', 'Howard J. Morris', 'Jane Fonda', 'Lily Tomlin', 'Tate Taylor (pilot)', 'Paula Weinstein', 'Dana Goldberg', 'David Ellison', 'Marcy Ross', 'Alexa Junge']",Gale Tattersall,"['Lisa Zeno Churgin', 'Michael Jablow', 'Sarah Lucky']",25–35 minutes,"['Okay Goodnight', 'Skydance Television']",Netflix,Netflix,4K (Ultra HD),,"May 8, 2015 (2015-05-08) –present (present)",25,present,,,,"Los Angeles, California",,,,,"""Stuck in the Middle with You""performed by Grace Potter",,,,,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
