,title,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompany ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
29,Bridgerton,"['Regency romance', 'Period drama']",Chris Van Dusen,"['Adjoa Andoh', 'Lorraine Ashbourne', 'Jonathan Bailey', 'Ruby Barker', 'Sabrina Bartlett', 'Harriet Cains', 'Bessie Carter', 'Nicola Coughlan', 'Phoebe Dynevor', 'Ruth Gemmell', 'Florence Hunt', 'Claudia Jessie', 'Ben Miller', 'Luke Newton', 'Regé-Jean Page', 'Golda Rosheuvel', 'Luke Thompson', 'Will Tilston', 'Polly Walker', 'Julie Andrews']",,United States,English,1,8,"['Shonda Rhimes', 'Betsy Beers', 'Chris Van Dusen', 'Julie Anne Robinson']",,,57–72 minutes,,Netflix,,,,"December 25, 2020 (2020-12-25) –present (present)",57,present,,,,,Bridgertonby Julia Quinn,,,,,Shondaland,,"['Sarada McDermontt', 'Holden Chang', 'Sarah Dollard']",Kris Bowers,Jim Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Fate: The Winx Saga,"['Teen drama', 'Supernatural', 'Fantasy']",Brian Young,"['Abigail Cowen', 'Hannah van der Westhuysen', 'Precious Mustapha', 'Eliot Salt', 'Elisha Applebaum', 'Danny Griffin', 'Sadie Soverall', 'Freddie Thorp', 'Eva Birthistle', 'Robert James-Collier', 'Eve Best', 'Lesley Sharp']",,"['United Kingdom', 'Italy']",English,1,6,"['Brian Young', 'Judy Counihan', 'Kris Thykier', 'Cristiana Buzzelli', 'Joanne Lee']","['Frida Wendel', 'Tim Fleming', 'Baz Irvine']","['Laura Morrod', 'Mike Jones', 'Adam Green']",47–53 minutes,"['Archery Pictures', 'Young Blood Productions', 'Rainbow S.p.A. (ViacomCBS)']",Netflix,Netflix,"['1080p (2:1 HDTV)', '2160p (2:1 4K UHD)']",Dolby Digital 5.1,22 January 2021 (2021-01-22) –present (present),47,present,,,Ireland,,Winx Clubby Iginio Straffi,,,,,,,"['Jon Finn', 'Macdara Kelleher', 'John Keville']",Anne Nikitin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Firefly Lane,Drama,Maggie Friedman,"['Katherine Heigl', 'Sarah Chalke', 'Ben Lawson', 'Beau Garrett', 'Ali Skovbye', 'Roan Curtis', 'Yael Yurman']",,United States,English,1,10,"[""Peter O'Fallon"", 'Stephanie Germain', 'Katherine Heigl', 'Shawn Williamson', 'Lee Rose', 'Maggie Friedman']",Vincent De Paula,"['Jamin Bricker', 'Lisa Binkley', 'Alison Grace', 'Lisa Robison']",47–53 minutes,"['Stephanie Germain Productions', 'Curly Girly Productions']",,Netflix,,,"February 3, 2021 (2021-02-03)",47,02,,Aaron Au,,"Burnaby, British Columbia",Firefly Laneby Kristin Hannah,,,,,,,,,,,,,Wendy Melvoin & Lisa Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Behind Her Eyes,,Steve Lightfoot,"['Simona Brown', 'Eve Hewson', 'Tom Bateman', 'Robert Aramayo']",,United Kingdom,English,N/A,6,"['Steve Lightfoot', 'Eliza Mellor', 'Suzanne Mackie', 'Andy Harries', 'Jessica Burdett']",Felix Wiedemann,"['Amy Hounsell', 'Brenna Rangott']",47–53 minutes,"['Sony Pictures Television', 'Left Bank Pictures']",Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital,17 February 2021 (2021-02-17),47,02,,,,,Behind Her Eyes by  Sarah Pinborough,,,,,,,,Rupert Gregson-Williams,,Single-camera,,Erik Richter Strand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Ginny & Georgia,Drama,Sarah Lampert,"['Brianne Howey', 'Antonia Gentry', 'Diesel La Torraca', 'Jennifer Robertson', 'Felix Mallard', 'Sara Waisglass', 'Scott Porter', 'Raymond Ablack', 'Mason Temple']",,United States,English,N/A,N/A,"['Sarah Lampert', 'Debra J. Fisher', 'Anya Adams', 'Jeff Tahler', 'Jenny Daly', 'Holly Hines', 'Daniel March']",,,,"['Madica Productions', 'Critical Content', 'Dynamic Television']",,Netflix,,,,,,,,,"Toronto, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Shadow and Bone,Fantasy,Eric Heisserer,"['Jessie Mei Li', 'Ben Barnes', 'Freddy Carter', 'Amita Suman', 'Kit Young', 'Archie Renaux']",,,English,N/A,N/A,"['Eric Heisserer', 'Shawn Levy', 'Pouya Shahbazian', 'Leigh Bardugo', 'Dan Levine', 'Dan Cohen', 'Josh Barry']",,,,,,Netflix,,,,,,,,Hungary,,Shadow and Bone and Six of Crowsby Leigh Bardugo,,,,,21 Laps Entertainment,,,Joseph Trapanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Grace and Frankie,Comedy,"['Marta Kauffman', 'Howard J. Morris']","['Jane Fonda', 'Lily Tomlin', 'Sam Waterston', 'Martin Sheen', 'Brooklyn Decker', 'Ethan Embry', 'June Diane Raphael', 'Baron Vaughn']","['Sam KS', 'Michael Skloff']",United States,English,6,78 ,"['Marta Kauffman', 'Howard J. Morris', 'Jane Fonda', 'Lily Tomlin', 'Tate Taylor (pilot)', 'Paula Weinstein', 'Dana Goldberg', 'David Ellison', 'Marcy Ross', 'Alexa Junge']",Gale Tattersall,"['Lisa Zeno Churgin', 'Michael Jablow', 'Sarah Lucky']",25–35 minutes,"['Okay Goodnight', 'Skydance Television']",Netflix,Netflix,4K (Ultra HD),,"May 8, 2015 (2015-05-08) –present (present)",25,present,,,,"Los Angeles, California",,,,,"""Stuck in the Middle with You""performed by Grace Potter",,,,,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Master of None,Comedy-drama,"['Aziz Ansari', 'Alan Yang']","['Aziz Ansari', 'Noël Wells', 'Eric Wareheim', 'Kelvin Yu', 'Lena Waithe', 'Alessandra Mastronardi']","['Didier Leplae', 'Joe Wong']",United States,English,2,20 ,"['Aziz Ansari', 'Alan Yang', 'Michael Schur', 'Dave Becky', 'David Miner']",Mark Schwartzbard,"['Jennifer Lilly', 'Suzy Elmiger', 'Daniel Haworth']",21–57 minutes,"['Alan Yang Pictures', 'Oh Brudder Productions', 'Fremulon', '3 Arts Entertainment', 'Universal Television']",Netflix,Netflix,4K (2.35:1 UHDTV),Dolby Digital 5.1 with Descriptive Video Service track,"November 6, 2015 (2015-11-06) –present",21,present,,Igor Srubshchik,,New York CityModena,,,,,,,,,,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Dear White People,Comedy-dramaSatire,Justin Simien,"['Logan Browning', 'Brandon P. Bell', 'DeRon Horton', 'Antoinette Robertson', 'John Patrick Amedori', 'Ashley Blaine Featherson', 'Marque Richardson', 'DJ Blickenstaff', 'Giancarlo Esposito']",,United States,English,3,30 ,"['Justin Simien', 'Yvette Lee Bowser', 'Stephanie Allain', 'Julia Lebedev']",,,21–36 minutes,"['SisterLee Productions', 'Culture Machine', 'Code Red', 'Homegrown Pictures', 'Roadside Attractions', 'Lionsgate Television']",Netflix,Netflix,,,"April 28, 2017 (2017-04-28) –present (present)",21,present,,,,,Dear White Peopleby Justin Simien,,,Giancarlo Esposito,,,,,Kris Bowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Atypical,"['Comedy-drama', 'Coming-of-age']",Robia Rashid,"['Keir Gilchrist', 'Jennifer Jason Leigh', 'Brigette Lundy-Paine', 'Michael Rapaport', 'Amy Okuda']",,United States,English,3,28 ,,,,26–38 minutes,Weird BrainExhibit ASony Pictures Television,Netflix,Netflix,,,"August 11, 2017 (2017-08-11) –present (present)",26,present,,Jennifer Jason Leigh,,"Los Angeles, California",,,,,,,,,Dan Romer,,,,,,,,,,,"Robia Rashid
Seth Gordon

Mary Rohlich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,On My Block,"['Teen comedy', 'Comedy']","['Lauren Iungerich', 'Eddie Gonzalez', 'Jeremy Haft']","['Sierra Capri', 'Jason Genao', 'Brett Gray', 'Diego Tinoco', 'Jessica Marie Garcia', 'Julio Macias']",,United States,,3,28 ,"['Lauren Iungerich', 'Eddie Gonzalez', 'Jeremy Haft']","['Joe Kessler', 'Tommy Maddox-Upshaw', 'Tarin Anderson']",,23–36 minutes,,Netflix,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital 5.1,"March 16, 2018 (2018-03-16) –present (present)",23,present,,,,,,,,,,Crazy Cat Lady Productions,,"['Jamie Dooner', 'Robert Sudduth', 'Hal Olofsson', 'Arlyn Richardson']",KOVAS,,Single-camera,,,,,,,,"['English', 'Spanish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
